name,model_name_or_path,h_dim,n_injector_head,injector_dropout_p,encoder_dropout_p,n_encoder_head,n_encoder_layers,to_matrix,test_time,test_sg_loss,test_sg_accuracy,test_sg_precision,test_sg_recall,test_sg_f1,test_gg_loss,test_gg_accuracy,test_gg_precision,test_gg_recall,test_gg_f1,epoch_1_train_time,epoch_1_train_sg_loss,epoch_1_train_sg_accuracy,epoch_1_train_sg_precision,epoch_1_train_sg_recall,epoch_1_train_sg_f1,epoch_1_train_gg_loss,epoch_1_train_gg_accuracy,epoch_1_train_gg_precision,epoch_1_train_gg_recall,epoch_1_train_gg_f1,epoch_1_val_time,epoch_1_val_sg_loss,epoch_1_val_sg_accuracy,epoch_1_val_sg_precision,epoch_1_val_sg_recall,epoch_1_val_sg_f1,epoch_1_val_gg_loss,epoch_1_val_gg_accuracy,epoch_1_val_gg_precision,epoch_1_val_gg_recall,epoch_1_val_gg_f1,epoch_2_train_time,epoch_2_train_sg_loss,epoch_2_train_sg_accuracy,epoch_2_train_sg_precision,epoch_2_train_sg_recall,epoch_2_train_sg_f1,epoch_2_train_gg_loss,epoch_2_train_gg_accuracy,epoch_2_train_gg_precision,epoch_2_train_gg_recall,epoch_2_train_gg_f1,epoch_2_val_time,epoch_2_val_sg_loss,epoch_2_val_sg_accuracy,epoch_2_val_sg_precision,epoch_2_val_sg_recall,epoch_2_val_sg_f1,epoch_2_val_gg_loss,epoch_2_val_gg_accuracy,epoch_2_val_gg_precision,epoch_2_val_gg_recall,epoch_2_val_gg_f1,epoch_3_train_time,epoch_3_train_sg_loss,epoch_3_train_sg_accuracy,epoch_3_train_sg_precision,epoch_3_train_sg_recall,epoch_3_train_sg_f1,epoch_3_train_gg_loss,epoch_3_train_gg_accuracy,epoch_3_train_gg_precision,epoch_3_train_gg_recall,epoch_3_train_gg_f1,epoch_3_val_time,epoch_3_val_sg_loss,epoch_3_val_sg_accuracy,epoch_3_val_sg_precision,epoch_3_val_sg_recall,epoch_3_val_sg_f1,epoch_3_val_gg_loss,epoch_3_val_gg_accuracy,epoch_3_val_gg_precision,epoch_3_val_gg_recall,epoch_3_val_gg_f1,epoch_4_train_time,epoch_4_train_sg_loss,epoch_4_train_sg_accuracy,epoch_4_train_sg_precision,epoch_4_train_sg_recall,epoch_4_train_sg_f1,epoch_4_train_gg_loss,epoch_4_train_gg_accuracy,epoch_4_train_gg_precision,epoch_4_train_gg_recall,epoch_4_train_gg_f1,epoch_4_val_time,epoch_4_val_sg_loss,epoch_4_val_sg_accuracy,epoch_4_val_sg_precision,epoch_4_val_sg_recall,epoch_4_val_sg_f1,epoch_4_val_gg_loss,epoch_4_val_gg_accuracy,epoch_4_val_gg_precision,epoch_4_val_gg_recall,epoch_4_val_gg_f1,epoch_5_train_time,epoch_5_train_sg_loss,epoch_5_train_sg_accuracy,epoch_5_train_sg_precision,epoch_5_train_sg_recall,epoch_5_train_sg_f1,epoch_5_train_gg_loss,epoch_5_train_gg_accuracy,epoch_5_train_gg_precision,epoch_5_train_gg_recall,epoch_5_train_gg_f1,epoch_5_val_time,epoch_5_val_sg_loss,epoch_5_val_sg_accuracy,epoch_5_val_sg_precision,epoch_5_val_sg_recall,epoch_5_val_sg_f1,epoch_5_val_gg_loss,epoch_5_val_gg_accuracy,epoch_5_val_gg_precision,epoch_5_val_gg_recall,epoch_5_val_gg_f1
57,meta-llama/Meta-Llama-3-8B,128,8,0.1,0.1,4,4,outer_product,450.0749297142029,0.19890901880395198,0.9432865381240845,0.5286367498338223,0.5012126488145441,0.48972846146040744,0.7171879329141873,0.3790189027786255,0.5005446557188407,0.6319725513458252,0.27594688090700337,506.73214960098267,0.3001898497339046,0.9218183159828186,0.5472264811396599,0.5137264765799046,0.5139361855756578,1.0773003369995084,0.3422076404094696,0.500314676493872,0.5724771916866302,0.25586245707483996,431.18420696258545,0.6251057119876225,0.9284216165542603,0.5164690352976322,0.5076106134802103,0.5075070296701948,1.2644413100841048,0.06606082618236542,0.5004409549874254,0.5261393450200558,0.06221572973762785,506.27075481414795,0.5294093946330813,0.911739706993103,0.5551144406199455,0.5297331809997559,0.5358277343697316,1.1742375159480551,0.3379441797733307,0.5003418690175749,0.5782574862241745,0.25349452951221413,430.91085171699524,0.19579026588740317,0.943102240562439,0.5905742049217224,0.5161149371415377,0.5190165507249561,0.7536235213023947,0.3913653492927551,0.5004347629728727,0.600861132144928,0.28238400381640083,504.8468427658081,0.6422989127298098,0.9140623211860657,0.5463261529803276,0.5214485302567482,0.5254364634371501,1.0490309489878613,0.33833256363868713,0.5002926010638475,0.5670261383056641,0.2536871165196196,431.63186264038086,0.8383597175839024,0.865399956703186,0.47309103899169713,0.45859126653522253,0.46562106987291063,2.3031626079993965,0.0032240883447229862,0.5004213877837174,0.5009005561005324,0.003222722693689912,507.24614119529724,0.5753857510262146,0.9053317308425903,0.5277355425059795,0.5164827853441238,0.5186298292674028,1.0105856144269487,0.3299653232097626,0.5003403761656955,0.5769885033369064,0.2489949238574426,430.8323087692261,0.27465310768336765,0.934755265712738,0.5506933555006981,0.518934290856123,0.5232899007235756,0.9614863995498845,0.10977569967508316,0.5004582115798257,0.5432948768138885,0.09931537666029437,505.308988571167,0.2844359765580926,0.922772228717804,0.5452754497528076,0.5120383109897375,0.5110822641458127,0.803524290152699,0.3629293441772461,0.5003359477268532,0.5794919282197952,0.2672379958567468,430.70876693725586,0.19490381986689376,0.945870578289032,0.5244125463068485,0.5012297972571105,0.4906941301840324,0.7169901833380671,0.38143694400787354,0.5005744998925366,0.6319898962974548,0.27728381633101695
58,meta-llama/Meta-Llama-3-8B,128,8,0.1,0.1,4,2,diagonal,450.9847116470337,0.1594096129494383,0.9333498477935791,0.6516181230545044,0.606619693338871,0.6241786213261467,0.007167616486339253,0.9990259408950806,0.5303362887352705,0.5000913992116693,0.4999413662748378,505.4786581993103,0.2124938960483891,0.9320628046989441,0.6171796470880508,0.5102678714320064,0.5051162500075942,0.016651415282200432,0.9967669248580933,0.5003226581029594,0.5007460159249604,0.5003226552169339,431.08303213119507,0.16417759617607838,0.9399773478507996,0.5962805822491646,0.529291495680809,0.5392313969337776,0.007975961413138537,0.9989681243896484,0.5522139854729176,0.5003014753747266,0.5003466239208342,505.2706367969513,0.18151771625263366,0.9299889802932739,0.6160302311182022,0.5194186139851809,0.5221094689311141,0.009582179297599419,0.99899822473526,0.5180445369333029,0.5004850424593315,0.5007187968132819,430.78119015693665,0.17052609005278152,0.9278973340988159,0.5985304042696953,0.574046291410923,0.583936212292079,0.007864424478473277,0.9989699125289917,0.5347429178655148,0.5001137977887993,0.4999722897425907,503.8265142440796,0.1651418773814594,0.9337218403816223,0.7136763781309128,0.5609930530190468,0.5863781314251869,0.009676556835134943,0.999014139175415,0.5172892287373543,0.5001615218789084,0.5000821553744826,431.4953932762146,0.17015367745274987,0.9260308146476746,0.6022020876407623,0.5856058895587921,0.5929137891552942,0.007743169261868713,0.9989718198776245,0.5096904681995511,0.5000099794979178,0.4997637591062904,505.77448439598083,0.13553256904799257,0.9425768852233887,0.7983926832675934,0.635211244225502,0.6808476900994233,0.008824656939541334,0.9990136623382568,0.5144367637112737,0.5001405456132488,0.5000408019828293,431.7594156265259,0.14022359608582596,0.9457027912139893,0.7037558406591415,0.5883803591132164,0.6192937295565974,0.007703368258495007,0.9989716410636902,0.49948638677597046,0.49999943375587463,0.4997427785896155,503.0937285423279,0.12768183189159427,0.9431160688400269,0.7920276522636414,0.6569005101919174,0.7004284342078904,0.008407647033563479,0.9990071058273315,0.5071256039664149,0.5001165592984762,0.4999964989181712,431.06714963912964,0.17269410513704564,0.9352795481681824,0.666286900639534,0.6535856872797012,0.6596230910405221,0.007618593100906986,0.9989711046218872,0.5171335358172655,0.500030594143027,0.4998054793423506
59,meta-llama/Meta-Llama-3-8B,128,8,0.1,0.1,4,2,outer_product,450.6799385547638,15.096142183132747,0.7204321026802063,0.46862069866620004,0.39388985745608807,0.4238637861862806,5.508499697703122,0.19260694086551666,0.5001934002502821,0.530901126563549,0.16206482601806402,504.9586591720581,0.42276039308348057,0.909769594669342,0.5740340501070023,0.5483205318450928,0.5569074236217826,6.816938662279392,0.45059648156166077,0.5002258734893985,0.5572482794523239,0.31163751013794816,429.83057928085327,0.1842927100856199,0.9416341781616211,0.5783144608139992,0.5166709814220667,0.5200176095298412,0.89458211572472,0.4649442434310913,0.5004739668802358,0.614883542060852,0.31864860311559084,506.56809425354004,0.46096068805374146,0.8843035101890564,0.5302895233035088,0.5304404199123383,0.5303645165722539,1.1760471777315307,0.46783143281936646,0.500252268044278,0.5643203854560852,0.319774255347825,429.8324155807495,0.3463546051047869,0.8542846441268921,0.4793330696411431,0.46356154046952724,0.47024704341736295,1.0841524268216254,0.3525419235229492,0.5004871401470155,0.6082568317651749,0.2617044623405966,503.19854760169983,1.4859042911411011,0.8925572037696838,0.5449561253190041,0.5410140976309776,0.5428070986156789,2.513060953719583,0.41744354367256165,0.500252808094956,0.5629476755857468,0.2954897884921581,429.6800513267517,0.598330442764135,0.8877144455909729,0.49527646601200104,0.49412016198039055,0.49434220633392584,3.653042758742224,0.13649024069309235,0.5002388096181676,0.5272825136780739,0.1205566308896595,505.4287734031677,3.2244308370690336,0.8784762024879456,0.5425649061799049,0.5500415936112404,0.5456769178200832,2.454658658654217,0.4391358196735382,0.5002686131047085,0.5677342116832733,0.3061650446001985,429.59127259254456,2.8886122978150017,0.8687765002250671,0.4726881348178722,0.4596121535869315,0.4660012521429557,2.4412888400017043,0.2654121220111847,0.5002989679924212,0.5567068159580231,0.21052699753193724,503.0945997238159,18.168944410975637,0.8949213027954102,0.5572285875678062,0.5526865571737289,0.5547905672735126,4.969686447752738,0.4419163167476654,0.5002902057021856,0.5732900202274323,0.3075249179453625,430.71364974975586,14.855801910221974,0.7170839905738831,0.4692912988830358,0.38890710566192865,0.42162149966486717,5.721645163403263,0.18709246814250946,0.5002054886426777,0.5303599908947945,0.15818914892889638
6,meta-llama/Meta-Llama-3-8B,512,8,0.1,0.1,4,6,diagonal,455.3944263458252,0.15609800774456398,0.9449769854545593,0.7162624448537827,0.5033425665460527,0.49286825254152467,0.0071961910540018804,0.9990284442901611,0.49951425194740295,0.4999999701976776,0.4997569930541002,514.0939848423004,0.2311406668710306,0.9178573489189148,0.5486202463507652,0.5186424516141415,0.5216350931269444,0.07059634193531977,0.9911295175552368,0.5026833878364414,0.5217912122607231,0.5033871639668295,434.3276536464691,0.14782197008007156,0.9477790594100952,0.598948061466217,0.5003358828544151,0.48739609091353964,0.008579400617142085,0.9989726543426514,0.49948638677597046,0.4999999701976776,0.4997430465350824,514.0962088108063,0.1818010729940817,0.9332655668258667,0.6249294728040695,0.5053415633738041,0.49485423221271596,0.010984386519454993,0.9990051984786987,0.5279797166585922,0.5005610522348434,0.5008693516016395,433.7437057495117,0.14635905975151756,0.9478209614753723,0.47393035888671875,0.49997788667678833,0.48660579751237365,0.008104048413309051,0.9989725947380066,0.582819752395153,0.5000208828678296,0.49978496567603325,512.1144750118256,0.1692052233847705,0.9353601336479187,0.7675646245479584,0.5247850604355335,0.5311087495018573,0.010828005220774334,0.9990006685256958,0.5214712675660849,0.5005277103045955,0.5008025785418717,434.1060073375702,0.1467731020960898,0.9472127556800842,0.4890754073858261,0.4998471045255428,0.4868421242832336,0.008180572755051161,0.9989725947380066,0.582819752395153,0.5000208828678296,0.49978496567603325,513.7335903644562,0.15974165625227935,0.9368947148323059,0.7888652384281158,0.544808391481638,0.565036312161112,0.00969792221263703,0.9990096688270569,0.519048472866416,0.5002732256834861,0.5003043129018397,435.16956067085266,0.15143766348049384,0.9450945854187012,0.5009614694863558,0.5000602136133239,0.48892095773772287,0.007768400449876087,0.9989726543426514,0.49948641657829285,0.4999999701976776,0.49974306145156094,512.7368123531342,0.15033337406514968,0.9400675892829895,0.8409468531608582,0.566734567284584,0.5998963647874805,0.009624944619033349,0.9989849328994751,0.5158682726323605,0.5006544895004481,0.501040737806722,434.19163155555725,0.15832290730837306,0.9408372044563293,0.5017971359193325,0.5002852459438145,0.49208648030397834,0.007640667009485365,0.9989726543426514,0.49948641657829285,0.4999999701976776,0.49974306145156094
60,meta-llama/Meta-Llama-3-8B,128,4,0.1,0.1,8,6,diagonal,453.7795023918152,0.1551115780402647,0.942997932434082,0.5917677208781242,0.5067078983411193,0.5007400673535903,0.007133800591101826,0.9990285038948059,0.49951425194740295,0.5,0.4997570079407819,506.8221673965454,0.2848627049983393,0.8798449039459229,0.5828258693218231,0.6165885925292969,0.5950552701968594,0.14801652588174255,0.9624883532524109,0.50245191459544,0.5893634930253029,0.4959939471810598,432.9625792503357,0.1461076870827687,0.9470659494400024,0.49773898907005787,0.49995974774356,0.48719727730195506,0.007664232941651125,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,509.3704745769501,0.19132984265207958,0.9301964044570923,0.601654976606369,0.5142527148127556,0.5130721457802512,0.008614105689042478,0.9990225434303284,0.4995112717151642,0.5,0.49975551637151766,434.5733063220978,0.14433964115417616,0.9471708536148071,0.4882085332646966,0.49982499120233115,0.4868307638285351,0.007374968975078565,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,505.9657428264618,0.18521735812732537,0.9312540292739868,0.6272560954093933,0.5168708674609661,0.5174772307528189,0.008364037308424315,0.9990225434303284,0.4995112717151642,0.5,0.49975551637151766,433.76473665237427,0.14427417392250771,0.9475063681602478,0.5002473406493664,0.5000019871949917,0.48692177042346174,0.007374066995659197,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,506.96891260147095,0.17804321824966765,0.932788610458374,0.6793571561574936,0.5266335867345333,0.5342717011660789,0.00827267884655627,0.9990225434303284,0.4995112717151642,0.5,0.49975551637151766,433.66447830200195,0.14454470938236066,0.9474854469299316,0.5916438773274422,0.5013213882921264,0.48968962854847864,0.007445009909491563,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,505.5425570011139,0.17202615896607415,0.9345306158065796,0.7271744608879089,0.5332824923098087,0.5456175622971833,0.008397722487678996,0.9990225434303284,0.4995112717151642,0.5,0.49975551637151766,435.6204106807709,0.14526100802625513,0.9471918344497681,0.5701618120074272,0.5015466150362045,0.4903770900906178,0.007499051088312219,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333
61,meta-llama/Meta-Llama-3-8B,128,4,0.1,0.1,8,6,outer_product,453.00436449050903,0.26151309067654394,0.9450182318687439,0.9725085496902466,0.5001874063018477,0.4862403746798006,1.0642206720387837,0.0009714486659504473,0.00048572433297522366,0.5,0.0009705058693184009,506.8415832519531,0.2658413490440619,0.9173389077186584,0.5475075542926788,0.5186581462621689,0.5216641966995788,0.8883347510933793,0.22361764311790466,0.5002011526958086,0.5356856063008308,0.18338645711597,432.42884135246277,0.5795898550179055,0.9478209614753723,0.47393035888671875,0.49997788667678833,0.48660579751237365,1.563206409426095,0.0010271877981722355,0.0005135938990861177,0.5,0.001026133766088417,509.3441369533539,0.2618569360896817,0.9206362366676331,0.5179120823740959,0.5048853680491447,0.5000884797019987,0.8571368669081945,0.17665225267410278,0.5001359016168863,0.5201769173145294,0.15065211812518067,432.67332458496094,0.4922301661046448,0.9478629231452942,0.4739314615726471,0.5,0.48661685166979873,1.4441995294536727,0.0010271877981722355,0.0005135938990861177,0.5,0.001026133766088417,506.1551876068115,0.21848007963924684,0.9300719499588013,0.5657588392496109,0.5072968555614352,0.5004200906888232,0.7901240970215843,0.1810423582792282,0.49999432079494,0.49913935363292694,0.15379456141547226,433.6788203716278,0.39276428330641383,0.947925865650177,0.8739706873893738,0.5007934485911392,0.48823806859270424,1.395752390827773,0.0010271877981722355,0.0005135938990861177,0.5,0.001026133766088417,506.4113428592682,0.20299990277842678,0.9315236210823059,0.5757079124450684,0.5058750631287694,0.49695217618578186,0.7723504840323603,0.18358610570430756,0.49998368773958646,0.4975016638636589,0.1556171731414992,432.8564739227295,0.356623931312305,0.9478419423103333,0.4739309251308441,0.49998894333839417,0.4866113324990512,1.2949270254862346,0.0010271877981722355,0.0005135938990861177,0.5,0.001026133766088417,506.27458000183105,0.18816429025530587,0.9323946237564087,0.5857638940215111,0.5048754252493382,0.49446836514123804,0.7582841824018727,0.19136165082454681,0.49999748755362816,0.49960116297006607,0.16114881392278863,434.6937267780304,0.25751165013378596,0.9478839039802551,0.8072841465473175,0.5003911959647667,0.4874253459107574,1.0683559535408087,0.0010271877981722355,0.0005135938990861177,0.5,0.001026133766088417
62,meta-llama/Meta-Llama-3-8B,128,4,0.1,0.1,8,4,diagonal,452.0124578475952,0.15240020862594408,0.9438637495040894,0.5569335743784904,0.5018710603471845,0.4906454277726962,0.007228429417008886,0.9990285038948059,0.49951431155204773,0.5,0.4997570377720765,504.9589488506317,0.23053510911859745,0.9062026739120483,0.5753108337521553,0.5562324076890945,0.5635779083545133,0.0829246800459847,0.984673798084259,0.5024546023923904,0.5359629429876804,0.5015870749196449,432.99082255363464,0.15207792442806212,0.9462900161743164,0.5665344968438148,0.5033516865223646,0.49464071645676183,0.007476403597566616,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,507.46675872802734,0.184599889264871,0.9332241415977478,0.6522023528814316,0.5095701860263944,0.5032517392076805,0.007978227607672594,0.9990225434303284,0.4995112717151642,0.5,0.49975551637151766,432.7432827949524,0.1457183522479588,0.9476531744003296,0.5453733578324318,0.5002694832801353,0.48736098488164953,0.007438122264674889,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,504.40282559394836,0.17377399229706358,0.9360859394073486,0.7985968887805939,0.5279585532844067,0.5367620226969613,0.008006810999370496,0.9990225434303284,0.4995112717151642,0.5,0.49975551637151766,432.7770628929138,0.14569830600990905,0.9474644660949707,0.5174181275069714,0.5001699435233604,0.4873083641076528,0.007511197943609626,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,505.6751458644867,0.16597491839904438,0.9375168681144714,0.8170804381370544,0.5430892258882523,0.5626145361821471,0.008087213366504602,0.9990223050117493,0.5328445769846439,0.5000102199146568,0.4997761584264773,431.46241879463196,0.1463537104212963,0.9463528990745544,0.48706873320043087,0.4995835828303825,0.48699859633761866,0.0075596420016024206,0.9989727735519409,0.49948638677597046,0.5,0.4997430614209333,503.55378007888794,0.16142270878256781,0.9383878111839294,0.8353456854820251,0.548685684800148,0.5719322608846573,0.008146011059731673,0.9990221858024597,0.5233207959681749,0.500010160310012,0.499776140990589,433.01627230644226,0.15041715269322742,0.9448009729385376,0.48374808579683304,0.4989550124737434,0.4869448833831613,0.007620942680624623,0.9989726543426514,0.49948641657829285,0.4999999701976776,0.49974306145156094
63,meta-llama/Meta-Llama-3-8B,128,4,0.1,0.1,8,4,outer_product,451.6979603767395,0.18384390897873928,0.9446883797645569,0.5439464226365089,0.5003658811911009,0.48689355686692537,0.7532435762358094,0.01981162838637829,0.5002504491130821,0.5047746645286679,0.019497928409598273,503.9759418964386,0.27467753801142786,0.9183136224746704,0.5480309203267097,0.5178605634719133,0.5204958130842077,0.9077177315283551,0.2281460165977478,0.5001508823479526,0.5271581634879112,0.18639527539847356,430.84413027763367,0.596845514954529,0.8907554149627686,0.4951096475124359,0.4942037742584944,0.4944503765482425,1.717048175380458,0.0010271877981722355,0.0005135938990861177,0.5,0.001026133766088417,504.52863788604736,0.19570951961719135,0.9304037690162659,0.5874824821949005,0.5104060294106603,0.506047305630736,0.7760615415244554,0.22514021396636963,0.5001188983442262,0.5211995169520378,0.18438320949282305,431.36414408683777,0.40748031079759134,0.9432909488677979,0.54253239184618,0.5053808940574527,0.5001125409833468,1.3053235985230571,0.001032659551128745,0.5005135967512615,0.500002738706371,0.0010316168414784594,503.6618068218231,0.17528242216299708,0.932228684425354,0.6179201304912567,0.5096237799152732,0.5038179426443526,0.7624256634025418,0.23646099865436554,0.5000803811708465,0.5148388743400574,0.191866255812321,431.6831178665161,0.185495527821731,0.9473386406898499,0.5637271776795387,0.5010538623901084,0.489248861693857,0.8295718409645626,0.043768297880887985,0.5004120649537072,0.516437690705061,0.04209987789698144,504.05915999412537,0.15779797340531584,0.9341573119163513,0.7094533294439316,0.5086038373410702,0.5008742072373242,0.7401392837148422,0.25657424330711365,0.5001042637741193,0.5203371196985245,0.20485344563273503,430.8203299045563,0.16478680814460323,0.9475693106651306,0.5294981636106968,0.500225256633712,0.4873376079036001,0.7715736776879398,0.09234791249036789,0.5004161677788943,0.5336711332201958,0.08487882401710525,503.20060777664185,0.22914341092341445,0.9256547689437866,0.5611387491226196,0.5134344659745693,0.5127513419039462,0.8892596390232103,0.20102669298648834,0.5000977551098913,0.5160402432084084,0.16794353998321113,431.22636890411377,0.1822010280170585,0.9476112723350525,0.587608240544796,0.5008175490656868,0.48854267396583184,0.7523217924300787,0.02038576267659664,0.5002397980424576,0.5044410899281502,0.020055688983534905
64,meta-llama/Meta-Llama-3-8B,128,4,0.1,0.1,8,2,diagonal,450.9413661956787,0.15345362217161326,0.9425444006919861,0.6606189608573914,0.5295892246067524,0.5409418975783649,0.006907745326436948,0.9990283846855164,0.49951425194740295,0.49999991059303284,0.49975696328073416,502.5089998245239,0.21258523816032335,0.9285995960235596,0.5315673723816872,0.5038703954778612,0.4947584081152805,0.025192069615844925,0.998389720916748,0.4999269194668159,0.4999525847961195,0.4999241604754048,431.0843152999878,0.15006537805230324,0.947380542755127,0.5596895590424538,0.5008859358495101,0.4888679483962028,0.007637729063440965,0.9989726543426514,0.49948641657829285,0.4999999701976776,0.49974306145156094,505.00692439079285,0.17324666356819798,0.9353393912315369,0.8292772769927979,0.5131941204890609,0.5094037277713368,0.0077757932298348365,0.9990220665931702,0.4995112419128418,0.4999997615814209,0.49975538236301964,430.3093595504761,0.14925932134345576,0.947275698184967,0.6269008666276932,0.5038716178387403,0.4950560829941607,0.007397429207082423,0.9989726543426514,0.49948638677597046,0.4999999701976776,0.4997430465350824,502.30305457115173,0.15908820574267618,0.9362103939056396,0.7989276051521301,0.5297840926796198,0.5399744597860506,0.007635808790996268,0.9990222454071045,0.4995112419128418,0.49999985098838806,0.49975542702281145,430.99323749542236,0.1550035359924119,0.9404597282409668,0.5679846331477165,0.5160514507442713,0.5190608276278631,0.007329585063364903,0.9989726543426514,0.49948638677597046,0.4999999701976776,0.4997430465350824,504.2174632549286,0.1441023850423218,0.9382011890411377,0.8029562532901764,0.5586998052895069,0.5868033678032868,0.007508813802862103,0.9990224242210388,0.4995112717151642,0.49999991059303284,0.4997554717117365,430.6825351715088,0.17238055626489432,0.9260727167129517,0.6080478727817535,0.5941808670759201,0.6004787090210644,0.007478357827498112,0.9989726543426514,0.49948638677597046,0.4999999701976776,0.4997430465350824,501.9828431606293,0.13316515762509473,0.9422450661659241,0.8069175779819489,0.6184701025485992,0.6642495016997179,0.0074326325738851215,0.9990224242210388,0.5495112724602222,0.5000102795193015,0.4997762052645804,432.77693724632263,0.14376330115970637,0.9449477791786194,0.6526069641113281,0.530582956969738,0.54283239534324,0.0073167322743214955,0.9989726543426514,0.49948638677597046,0.4999999701976776,0.4997430465350824
65,meta-llama/Meta-Llama-3-8B,128,4,0.1,0.1,8,2,outer_product,450.41590571403503,0.3951414822933072,0.8705753684043884,0.49659285694360733,0.49504026025533676,0.49449994324953256,1.0157916501426671,0.10289601236581802,0.5003383189905435,0.531930074095726,0.09364528591312964,501.74558115005493,0.5078735819223521,0.8974305987358093,0.5449943467974663,0.5365864634513855,0.5399460650995891,1.7540034519558507,0.42677822709083557,0.5002526830066927,0.5632999688386917,0.30011826285701115,429.53335666656494,0.35874399308862615,0.865504801273346,0.490021038800478,0.48373496904969215,0.4851822637005957,1.2647230453096983,0.2388778179883957,0.50037852069363,0.5669117718935013,0.19356680233266071,501.46519589424133,0.800771774262955,0.8821675181388855,0.5296783223748207,0.5309096276760101,0.5302631322751435,1.2481809732817888,0.41635534167289734,0.5002683422644623,0.566743403673172,0.29495690728241764,430.7134442329407,0.5550233562038676,0.8693217635154724,0.47213966233539395,0.4591395269962959,0.46552525798228106,1.3275503568176024,0.18182814121246338,0.5002415673225187,0.5349007174372673,0.15443097135501913,501.23936700820923,0.6006210880567153,0.8945272564888,0.5465134978294373,0.5408958271145821,0.5433556810554246,0.9232967808076861,0.42959102988243103,0.5002732030116022,0.5685405135154724,0.3015158490723977,430.329735994339,0.3852561607808131,0.8959774971008301,0.49237498082220554,0.4918267298489809,0.49207221514384014,0.9863435288897363,0.21257415413856506,0.5003791850758716,0.5616762414574623,0.17599218918786227,502.43189454078674,0.4735299413502672,0.8976794481277466,0.5383505746722221,0.5299769602715969,0.5330895197931032,0.8451263135954061,0.4269047975540161,0.5002913477364928,0.572976291179657,0.3002081644212079,429.35334038734436,0.20527282513143366,0.9359506964683533,0.5558680668473244,0.5195648781955242,0.5242989904681631,0.759820080309252,0.3487403690814972,0.5002900146646425,0.5641384273767471,0.2595074862426227,500.3712422847748,0.4042431303518961,0.9029468297958374,0.5435125231742859,0.530157595872879,0.5344705102715575,0.7862629802829928,0.4213566780090332,0.500256484025158,0.5640153288841248,0.2974400661380261,429.9089181423187,0.376095105069935,0.8778574466705322,0.4940967820584774,0.4915814660489559,0.4918626879528443,1.017217565392967,0.10049540549516678,0.500335119664669,0.5292744971811771,0.09167809688727718
